lat,lon,date,website
38.406916,-80.569938,,
39.933586,-81.570887,,
39.486537,-87.269372,,http://www.bfro.net/GDB/show_report.asp?id=3186
35.066986,-86.416341,,http://www.bfro.net/GDB/show_article.asp?id=335
34.816017,-87.539659,,http://www.bfro.net/GDB/show_report.asp?id=577
38.803625,-86.744668,,http://www.bfro.net/GDB/show_report.asp?id=9640
31.328158,-92.398173,,http://www.bfro.net/GDB/show_report.asp?id=1461
63.487244,-145.987829,,http://www.bfro.net/GDB/show_report.asp?id=1258
35.931816,-88.267029,1905,http://www.bfro.net/GDB/show_report.asp?id=4543
42.763767,-83.748566,1910,http://www.bfro.net/GDB/show_report.asp?id=807
34.163532,-111.478009,1920,http://www.bfro.net/GDB/show_report.asp?id=1606
35.106640,-94.080301,1920,http://www.bfro.net/GDB/show_report.asp?id=4088
39.995384,-90.760771,1922-02-01,http://www.bfro.net/GDB/show_article.asp?id=424
40.746231,-106.487512,1923-07-15,http://www.bfro.net/GDB/show_report.asp?id=5641
47.434158,-79.723984,1923-07-23,http://www.bfro.net/GDB/show_article.asp?id=62
50.510330,-124.285587,1924-07-??,http://www.bfro.net/GDB/show_report.asp?id=1091
46.207809,-122.085922,1924-07-??,http://www.bfro.net/GDB/show_article.asp?id=91
39.264547,-123.590778,193?-??-??,http://www.bfro.net/GDB/show_report.asp?id=8059
31.464243,-95.747145,1930-10Aut,http://www.bfro.net/GDB/show_report.asp?id=2477
32.442970,-96.719182,1938-??-??,http://www.bfro.net/GDB/show_report.asp?id=2395
34.187415,-111.589691,194?-??-??,http://www.bfro.net/GDB/show_report.asp?id=1606
46.319733,-121.176656,1941-10Aut,http://www.bfro.net/GDB/show_report.asp?id=1689
51.816330,-99.211667,1941-11-16,http://www.bfro.net/GDB/show_report.asp?id=9552
34.746666,-99.806716,1942-04Spr,http://www.bfro.net/GDB/show_report.asp?id=1303
40.607046,-82.285166,1943-08-??,http://www.bfro.net/GDB/show_report.asp?id=5333
34.765034,-91.916728,1943-10-??,http://www.bfro.net/GDB/show_report.asp?id=2494
41.771564,-122.878368,1944-08-??,http://www.bfro.net/GDB/show_report.asp?id=2896
47.399826,-79.774631,1946-08-16,http://www.bfro.net/GDB/show_article.asp?id=63
47.964077,-123.866343,1948-??-??,http://www.bfro.net/GDB/show_report.asp?id=1723
29.678729,-81.746851,1948-07Sum,http://www.bfro.net/GDB/show_report.asp?id=4795
34.606483,-86.516377,1949-07Sum,http://www.bfro.net/GDB/show_report.asp?id=7235
36.796389,-83.667233,195?-??-??,http://www.bfro.net/GDB/show_report.asp?id=2364
32.658234,-109.985624,195?-??-??,http://www.bfro.net/GDB/show_report.asp?id=489
47.296658,-93.419109,195?-08-??,http://www.bfro.net/GDB/show_report.asp?id=2677
45.757713,-121.645875,1950-04Spr,http://www.bfro.net/GDB/show_report.asp?id=1043
34.099545,-117.316896,1950-07-??,http://www.bfro.net/GDB/show_report.asp?id=2248
37.839575,-82.439860,1950-07Sum,http://www.bfro.net/GDB/show_report.asp?id=5678
33.112793,-89.461937,1950-07Sum,http://www.bfro.net/GDB/show_report.asp?id=1339
34.574575,-118.987008,1950-07Sum,http://www.bfro.net/GDB/show_report.asp?id=3684
37.768764,-82.751802,1951-??-??,http://www.bfro.net/GDB/show_report.asp?id=2155
46.188803,-123.197406,1953-07-??,http://www.bfro.net/GDB/show_report.asp?id=4353
41.071186,-86.578369,1953-07Sum,http://www.bfro.net/GDB/show_report.asp?id=9245
37.319441,-84.929346,1953-12-??,http://www.bfro.net/GDB/show_report.asp?id=1024
52.905000,-119.523992,1955-10-??,http://www.bfro.net/GDB/show_report.asp?id=1083
38.047929,-90.758805,1956-10-??,http://www.bfro.net/GDB/show_report.asp?id=1158
39.337921,-120.234770,1956-10Aut,http://www.bfro.net/GDB/show_report.asp?id=4946
38.585014,-77.438833,1957-07-??,http://www.bfro.net/GDB/show_report.asp?id=679
48.219751,-121.976842,1958-??-??,http://www.bfro.net/GDB/show_report.asp?id=1670
40.807858,-124.074010,1958-07Sum,http://www.bfro.net/GDB/show_report.asp?id=528
41.383899,-123.716334,1958-10-1?,http://www.bfro.net/GDB/show_article.asp?id=87
40.928082,-82.450595,1958-11-??,http://www.bfro.net/GDB/show_report.asp?id=7425
39.135017,-121.293519,1959-10-??,http://www.bfro.net/GDB/show_report.asp?id=7211
33.046832,-94.659037,196?-07Sum,http://www.bfro.net/GDB/show_report.asp?id=9879
39.331913,-95.838497,1960-??-??,http://www.bfro.net/GDB/show_report.asp?id=1330
47.036591,-122.913378,1960-??-??,http://www.bfro.net/GDB/show_article.asp?id=34
47.133279,-123.098299,1960-07-18,http://www.bfro.net/GDB/show_report.asp?id=1495
56.263733,-118.581236,1960-09-02,http://www.bfro.net/GDB/show_report.asp?id=4899
32.801142,-86.576500,1960-10Aut,http://www.bfro.net/GDB/show_article.asp?id=419
38.612909,-91.948101,1960-11-??,http://www.bfro.net/GDB/show_report.asp?id=9941
34.906654,-91.110436,1961-10Aut,http://www.bfro.net/GDB/show_report.asp?id=7234
41.304809,-81.319302,1962-??-??,http://www.bfro.net/GDB/show_report.asp?id=3651
48.198395,-101.243117,1962-04-??,http://www.bfro.net/GDB/show_report.asp?id=751
27.030830,-82.146574,1962-08-15,http://www.bfro.net/GDB/show_report.asp?id=445
38.149221,-120.073055,1963-01-27,http://www.bfro.net/GDB/show_report.asp?id=2309
37.739625,-120.330179,1963-03-??,http://www.bfro.net/GDB/show_report.asp?id=1643
38.192446,-119.982027,1963-03-??,http://www.bfro.net/GDB/show_report.asp?id=1952
26.665626,-81.878367,1963-04Spr,http://www.bfro.net/GDB/show_report.asp?id=6992
42.867622,-116.053731,1963-06-??,http://www.bfro.net/GDB/show_report.asp?id=5720
46.795160,-116.866350,1963-06-10,http://www.bfro.net/GDB/show_report.asp?id=6758
40.850258,-82.293493,1963-07-??,http://www.bfro.net/GDB/show_report.asp?id=7026
45.956111,-87.685776,1963-07Sum,http://www.bfro.net/GDB/show_report.asp?id=801
41.070414,-86.578027,1963-07Sum,http://www.bfro.net/GDB/show_report.asp?id=9245
39.969292,-123.798567,1963-07Sum,http://www.bfro.net/GDB/show_report.asp?id=2200
40.235120,-123.873928,1963-08-??,http://www.bfro.net/GDB/show_report.asp?id=6961
32.241783,-95.324428,1963-10-??,http://www.bfro.net/GDB/show_report.asp?id=1063
41.955278,-78.656311,1963-10-01,http://www.bfro.net/GDB/show_report.asp?id=9546
32.219446,-96.599759,1964-??-??,http://www.bfro.net/GDB/show_report.asp?id=2396
30.710092,-94.805367,1964-??-??,http://www.bfro.net/GDB/show_report.asp?id=4141
40.242190,-123.837530,1964-??-??,http://www.bfro.net/GDB/show_report.asp?id=8183
64.519873,-146.904791,1964-0?-09,http://www.bfro.net/GDB/show_report.asp?id=1256
32.834584,-81.159800,1964-06-15,http://www.bfro.net/GDB/show_report.asp?id=975
36.422113,-93.770774,1964-07-15,http://www.bfro.net/GDB/show_report.asp?id=9507
39.235675,-95.961051,1964-07-21,http://www.bfro.net/GDB/show_article.asp?id=78
40.258262,-123.914930,1965-07-??,http://www.bfro.net/GDB/show_report.asp?id=6963
39.145714,-121.613654,1965-07-??,http://www.bfro.net/GDB/show_report.asp?id=9202
43.954668,-83.269534,1965-07-15,http://www.bfro.net/GDB/show_report.asp?id=5652
47.285414,-121.178472,1965-07-30,http://www.bfro.net/GDB/show_report.asp?id=3150
40.379477,-83.789939,1965-07Sum,http://www.bfro.net/GDB/show_report.asp?id=4954
46.501694,-120.452296,1965-08-??,http://www.bfro.net/GDB/show_report.asp?id=6347
43.129696,-79.438985,1965-08-01,http://www.bfro.net/GDB/show_article.asp?id=64
43.152022,-79.349181,1965-08-25,http://www.bfro.net/GDB/show_article.asp?id=65
39.878955,-88.991649,1965-09-2?,http://www.bfro.net/GDB/show_article.asp?id=429
34.639378,-77.248019,1965-10-??,http://www.bfro.net/GDB/show_report.asp?id=1939
50.950470,-116.494288,1966-05-??,http://www.bfro.net/GDB/show_report.asp?id=1408
41.227484,-122.781902,1966-07-0?,http://www.bfro.net/GDB/show_report.asp?id=1792
39.225762,-123.764099,1966-08-??,http://www.bfro.net/GDB/show_report.asp?id=8059
41.506433,-122.274634,1966-10Aut,http://www.bfro.net/GDB/show_report.asp?id=1473
46.224632,-119.302945,1967-03-??,http://www.bfro.net/GDB/show_report.asp?id=1973
41.382440,-82.136192,1967-07Sum,http://www.bfro.net/GDB/show_report.asp?id=7830
46.960030,-122.687524,1967-08-??,http://www.bfro.net/GDB/show_report.asp?id=1596
41.438386,-123.705936,1967-10-20,http://www.bfro.net/GDB/show_report.asp?id=1563
46.472340,-122.937402,1967-10Aut,http://www.bfro.net/GDB/show_report.asp?id=1564
46.267548,-122.058136,1967-10Aut,http://www.bfro.net/GDB/show_report.asp?id=1644
33.500919,-88.399256,1968-??-??,http://www.bfro.net/GDB/show_report.asp?id=1344
42.578287,-123.433461,1968-??-??,http://www.bfro.net/GDB/show_report.asp?id=677
42.121239,-111.407838,1968-07-??,http://www.bfro.net/GDB/show_report.asp?id=1795
36.770897,-118.401000,1968-07-??,http://www.bfro.net/GDB/show_report.asp?id=2876
44.133968,-118.971854,1968-07-05,http://www.bfro.net/GDB/show_report.asp?id=7819
38.064583,-87.026929,1968-07Sum,http://www.bfro.net/GDB/show_report.asp?id=6534
40.041980,-82.709966,1968-07Sum,http://www.bfro.net/GDB/show_report.asp?id=4953
45.289764,-121.507992,1968-07Sum,http://www.bfro.net/GDB/show_report.asp?id=5816
37.851334,-89.016217,1968-08-11,http://www.bfro.net/GDB/show_report.asp?id=3467
47.497818,-120.834599,1968-08-30,http://www.bfro.net/GDB/show_report.asp?id=925
31.315241,-94.784180,1968-10-??,http://www.bfro.net/GDB/show_report.asp?id=1526
40.378731,-90.176622,1968-10-18,http://www.bfro.net/GDB/show_article.asp?id=434
41.214523,-111.863199,1968-10Aut,http://www.bfro.net/GDB/show_report.asp?id=2347
